"wos","forest"
"PT","publication_type"
"AU","authors"
"AF","authors_full_name"
"TI","title"
"SO","publication_name"
"LA","language"
"DT","document_type"
"DE","authors_keywords"
"AB","abstract"
"C1","authors_address"
"RP","reprint_address"
"EM","authors_email"
"CR","cited_references"
"NR","cited_reference_count"
"TC","wos_cited_count"
"Z9","wos_cited_count_total"
"U1","usage_count_180"
"U2","usage_count_2013"
"PU","publisher"
"PI","publisher_city"
"PA","publisher_address"
"SN","issn"
"EI","eissn"
"J9","29_character_source_abbreviation"
"JI","iso_source_abbreviation"
"PD","publication_date"
"PY","year_published"
"VL","volume"
"IS","issue"
"BP","beginning_page"
"EP","ending_page"
"DI","doi"
"PG","page_count"
"WC","web_of_science_categories"
"SC","research_areas"
"GA","document_delivery_number"
"UT","accession_number"
"DA","date_this_report"
"ER","end_of_record"
"ID","keywords_plus"
"OI","orcid"
"FU","funding_agency_grant_number"
"FX","funding_text"
"AR","article_number"
"OA","open_accesss_indicator"
"PM","pubmed_id"
"RI","research_id"
"SI","special_issue"
"PN","part_number"
"SU","supplement"
"CT","conference_title"
"CY","conference_date"
"CL","conference_location"
"SP","conference_sponsor"
"MA","meeting_abstract"
"BE","editors"
"SE","book_series_title"
"BN","isbn"
"DB","DB"
"AU_UN","AU_UN"
"AU1_UN","AU1_UN"
"AU_UN_NR","AU_UN_NR"
"SR","SR"
